1707755833	0	1707755840
1707755840	1	1707755853
1707755853	2	1707755868
1707755868	3	1707755884
1707755884	4	1707755898
1707755898	5	1707755913
1707755913	6	1707755928
1707755928	7	1707755943
1707755943	8	1707755959
1707755959	9	1707755974
1707755974	10	1707755988
1707755988	11	1707756312
1707756312	9	1707756314
1707756314	8	1707756319
1707756319	7	1707756321
1707756321	6	1707756332
1707756332	5	1707756337
1707756337	4	1707756355
1707756355	3	1707756366
1707756366	2	1707756380
1707756380	1	1707756396
