"Relative Time","Run"
"00:00","1"
"00:16","2"
"00:32","3"
"00:48","5"
"01:04","6"
"01:20","7"
"01:36","8"
"01:52","9"
"04:00","8"
"05:36","7"
"05:52","6"
"06:08","5"
"06:40","3"
"06:56","2"
"08:32","1"
"08:48","0"
"09:04","0"
