"Relative Time","Run"
"00:00","1"
"00:16","2"
"00:32","3"
"00:48","4"
"01:04","5"
"01:20","7"
"01:36","8"
"01:52","9"
"02:08","10"
"02:24","11"
"07:44","9"
"08:00","6"
"08:16","4"
"08:32","3"
"08:48","2"
"09:04","1"
"09:20","0"
"09:36","0"
